user_id,book_id,rating
1,4725,2.1
1,7697,3.7
1,6759,4.1
1,7949,3
1,1591,2.3
1,3838,1.5
1,9192,2.9
1,9434,3.8
1,7872,1.3
1,856,5
1,9642,2.9
1,6823,2.1
1,5384,4.4
1,4792,3.2
1,6497,2.2
1,5092,4.7
1,2686,4
1,7492,4.7
1,6605,3.4
1,7447,4.3
1,3564,3.1
1,5175,5
1,4329,4.7
1,4586,3.8
1,7939,3.2
1,6363,3
1,7428,2.7
1,5837,3.3
1,3844,3.8
1,6454,4
1,5516,3
1,4348,3.1
1,6235,5
1,8405,2.9
2,6617,4.8
2,16,4
2,9696,4.3
2,2365,2.5
2,3216,5
2,673,2.4
2,6120,3.2
2,2258,4.1
2,9451,5
2,1756,4
2,8500,2.2
2,1914,4.5
2,7693,4.3
2,8646,3.9
3,4735,4.9
3,3675,2.8
3,3107,4.4
3,4304,2.4
3,3450,4.7
3,989,4.6
3,7387,2.4
3,5193,3.2
3,7672,3.5
3,2416,4.7
3,458,4.3
4,2868,4.2
4,5099,4.6
4,7363,3
4,4303,5
4,8957,2
4,4624,1.6
4,4210,4
4,1542,3.5
4,8622,4.5
4,3094,5
4,7373,3.5
4,5850,4.7
4,9752,5
4,8523,4.5
4,7908,3.7
4,8756,2.2
4,9788,5
4,4925,2.8
5,5012,2.9
5,6567,2.6
5,4047,3.9
5,67,3.8
5,9202,4.3
5,4172,2.7
5,8547,1.9
5,1840,4.7
5,2428,5
5,8678,1
5,2562,4.6
5,3260,4.8
5,5210,5
5,3869,4.4
5,2020,2.8
5,4864,3.9
6,8312,4.2
6,46,4
6,3630,3.7
6,7894,4.3
6,859,5
6,1284,3.9
6,8154,3.5
6,2062,2.5
6,7335,2.7
6,2441,2.4
6,739,4.8
6,8034,3.9
6,2943,5
6,8320,3.1
6,3618,4.2
6,6477,4.8
6,3024,4.4
6,7103,3.1
6,5830,5
6,1475,2.4
6,1238,3.9
6,6942,3.3
6,8089,4.6
6,3772,2.7
6,327,4.6
6,6245,4.5
6,1200,3
6,1939,1.8
6,4709,5
6,9595,4
6,5140,3
6,809,3.3
6,7639,4.2
6,4992,4.7
7,5566,2.9
7,1861,2.9
7,1868,3.4
7,6828,2.3
7,3536,3.5
7,6458,4.4
7,6859,3.8
7,809,4.3
7,9198,3.5
7,2625,5
7,574,1.4
7,7506,3.9
8,7816,3.9
8,6673,5
8,7032,3.4
8,1033,3.2
8,2021,3.2
8,6457,4
8,7334,4.1
8,2758,4.4
8,5200,2.1
8,125,2.6
8,2,4.3
8,6781,3.7
8,6072,4
8,7928,4.4
8,4918,5
8,6270,3
8,4496,4.3
8,7912,4.2
8,574,3.8
8,4969,3.7
8,5778,3.1
8,7527,3.2
8,8216,4.3
8,8208,2.6
8,898,3.1
8,1726,3.8
8,7358,4.3
8,7789,4.2
8,1909,2.8
8,5866,1.7
8,7775,2.7
8,5368,3.2
8,7645,4.2
8,4636,2.5
8,3183,2
8,9824,2.3
8,9072,3.8
8,6732,3.1
8,6617,3.3
9,2350,4.3
9,494,3.7
9,7514,4.6
9,8461,4.1
9,2977,3.5
9,5269,4.8
9,9885,3.4
9,9408,3.4
9,4095,4.6
9,39,4.7
9,8615,4.6
9,2103,4.1
9,2536,3.6
9,9088,2.6
9,3115,2.4
9,5842,5
9,4366,4
9,6298,4.3
9,8846,2.3
9,9482,4.3
9,9495,2.9
9,328,3.2
9,4321,5
9,9213,5
9,3126,4.7
9,6739,4.4
9,7935,3.1
9,5783,3.5
9,5012,3.5
9,7367,4.3
9,5108,2.9
9,5115,4.3
9,8431,1.8
10,5565,3.8
10,6658,2.3
10,4515,1.9
10,8241,3.8
10,4872,4.4
10,7521,3.4
10,3655,4.2
10,5666,3.9
10,7237,4.2
10,6505,1.1
10,1097,3.8
10,1612,3.1
10,6703,2.9
10,8400,3.6
11,8614,5
11,1474,4.9
11,1558,4.6
11,1805,3.4
11,1687,4
11,7347,3.8
11,6304,1.9
11,8600,2.3
11,8014,4.8
11,9433,3.4
11,3698,4.2
11,7623,3.8
11,2819,3.6
11,3337,4
11,6346,3
11,2541,5
11,9044,4.8
11,1484,5
11,1477,3.1
11,564,2.9
11,8886,2.8
11,6332,4.1
11,5955,4
11,8503,3.4
11,2722,2.9
11,3733,4.2
11,6624,3.4
11,9325,4.1
11,835,4.4
11,2717,2
11,2873,3.6
11,5371,4.1
11,8469,5
11,8259,4.1
12,1688,4.8
12,9087,5
12,1562,5
12,6228,3.3
12,3383,4.3
12,2992,4.3
12,9203,3
12,2267,3.4
12,614,5
12,9944,2.6
12,6476,4.9
12,9609,4.6
12,6081,3.6
12,8960,4
12,442,4.7
12,8108,4.3
12,1496,2.2
12,5838,3
12,385,5
12,969,2.3
12,6605,3.7
12,4207,4.2
12,8540,3.5
12,628,3.6
12,9917,3.7
12,9571,2.8
12,5867,3.9
12,7343,4.2
12,2162,3.8
12,3088,3.9
12,6778,2.9
12,4588,4.6
12,2407,2.5
12,924,2.5
12,9075,3.8
13,2658,2.6
13,6042,3.4
13,8339,1.8
13,3904,4.7
13,8116,3.9
13,4938,2.6
13,1574,3.5
13,9209,4.7
13,3801,3.9
13,9205,3.6
13,6552,3
13,5035,2.9
13,7335,2.1
13,7647,4.4
13,2287,3.1
13,886,3
13,3657,3.4
13,3757,4.1
13,576,3.4
13,1120,4.2
13,6152,2.3
13,1998,4.2
13,700,4.6
13,6092,4
13,2871,3.1
13,4433,3.5
13,1420,4
13,1069,4.2
13,1643,2
13,6806,2.7
13,578,3.3
13,8024,4.6
13,37,5
13,4764,3.7
13,7411,2.5
13,9990,4.6
13,80,2.8
13,7686,4
13,6926,2.9
13,6811,2.2
14,9190,4.3
14,9843,3.9
14,9319,2.2
14,9806,4
14,2562,4
14,7991,3.6
14,3240,1.1
14,8199,4.5
14,5380,4.3
14,4206,4.4
14,2347,2.7
14,7497,3.7
14,6091,4.9
14,36,3.3
14,493,5
14,1240,2.9
14,1560,3.4
14,561,5
14,8575,4.7
15,8362,5
15,1959,2.3
15,4366,4.2
15,3859,3.2
15,6673,4.5
15,9040,4.5
15,4853,2.1
15,3174,2.6
15,1290,5
15,7189,3.7
15,5060,5
15,4767,5
15,8727,5
15,5462,2.9
15,3435,4.2
15,1579,4.6
15,3240,2.7
15,3590,2.1
15,7435,5
15,6380,3.7
15,7459,2.6
15,1671,5
15,30,4.8
15,9662,1.9
15,6614,2.9
15,9654,3.9
15,9802,4.7
15,5102,5
15,8535,3.5
15,6189,3.9
16,6266,3.9
16,8274,4.3
16,8840,5
16,1235,3.8
16,1732,2.7
16,3597,5
16,9786,2.2
16,8099,3.2
16,5369,3.6
16,3293,3.5
16,8396,3
16,7010,2.9
16,5175,4.1
16,2578,3.5
16,984,3.1
16,1850,2
16,8625,3.8
16,4035,3.2
16,651,4
16,6281,4.2
16,9602,4.6
16,2874,4
16,9082,2.7
16,57,4.5
16,9657,5
16,8395,3.6
16,8600,1.7
17,4,4.5
17,6578,3
17,4995,4.5
17,8958,4.1
17,7505,3.8
17,9960,3.9
17,4834,4.3
17,9933,4.3
17,5712,1.9
17,730,3.6
17,4587,2.9
17,7557,5
17,4210,5
17,5382,3.4
17,9701,3.7
17,1734,2.2
17,3594,5
17,2547,4.7
17,7787,4.8
17,3482,4.2
17,4469,4.8
17,6066,3.1
17,3706,5
17,2075,3.3
17,9867,2.6
17,1713,3.2
17,4049,5
17,9508,3.1
17,2704,2.6
17,585,3.5
18,7214,5
18,3593,3.6
18,2222,3.8
18,2858,2.6
18,9718,3.6
18,5588,3.3
18,9668,2.9
18,2938,3.6
18,8820,3.6
18,879,3.3
18,1869,4.2
18,867,3.2
18,2133,5
18,3779,2
18,8685,2.1
18,5261,5
18,1534,4
18,3198,5
18,5864,3.7
18,5940,2.4
18,88,3
18,9291,5
18,790,3.8
18,1423,5
18,3076,5
18,1512,2.4
19,845,2.1
19,6614,1
19,139,1
19,120,4.3
19,7994,4.2
19,3257,4.3
19,886,3.6
19,6617,5
19,2539,4.1
19,3498,3.7
19,9536,3.5
19,5037,3.5
19,9749,4.6
19,3830,5
19,4473,2.2
19,6638,4.3
19,5639,1.9
19,5917,5
20,9812,2.7
20,4807,3.1
20,4210,4.6
20,4378,2.9
20,4105,5
20,8717,5
20,2910,2.2
20,7885,2.6
20,5709,3.2
20,1466,4.8
20,5640,3.8
20,9293,5
20,8040,3.3
20,6530,2.2
20,5792,3.5
20,278,3.9
20,5968,4.3
20,2782,5
20,4474,2.9
20,8194,3.5
20,4623,4
20,7035,4.4
20,3778,4.1
20,2901,4
20,9336,4.7
20,1200,3.2
20,7898,2.3
20,763,2.8
20,1421,2.9
20,4325,2.9
20,3211,5
20,8279,4.9
20,279,4
20,7258,3.7
21,2501,4.3
21,4641,3.3
21,8374,2.9
21,4954,4.8
21,201,4.3
21,9745,4.5
21,2036,2.3
21,575,3.9
21,2242,3.6
21,3524,5
21,6165,3.7
21,4351,4.7
21,9336,3.9
21,3631,3
21,8730,3.4
21,2442,2.7
21,8256,5
21,3465,3.8
21,9688,2.9
21,7556,4.6
21,4316,2.5
21,3379,4.2
21,248,3.3
21,4262,4.3
22,8729,4.3
22,949,4.5
22,7319,3.4
22,2474,4.4
22,3983,3.8
22,2695,2.9
22,612,3.9
22,7512,4.5
22,6267,4.4
22,8228,4.5
22,5976,5
22,1074,3.6
22,1599,2.5
22,9763,2.9
22,2756,3.5
22,4019,4.1
22,7502,3.7
22,8296,4.3
22,9879,3.1
22,3899,4.9
22,4242,3.6
22,8312,2.7
22,1359,3.6
22,8148,3
22,8991,5
22,5320,1.9
22,1876,4.4
22,2414,3.9
22,2591,3.1
22,9574,3.9
22,3755,5
22,2383,3.3
22,7447,4.5
22,3795,2.4
22,3195,4.2
22,2629,3.5
23,1606,4.2
